Items,DMG Price,DMPG Price,Rarity,Sane Price,Stat Block,Type,XGE Price
Luck Blade,50001+,"100,000",Legendary,, https://www.dndbeyond.com/magic-items/luck-blade,Weapons,50000-300000
Masters Call,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/masters-call,Wondrous Items,50000-300000
Psi Crystal,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/psi-crystal,Wondrous Items,100-600
Hazirawn (greatsword),50001+,"66,000",Legendary,, https://www.dndbeyond.com/magic-items/hazirawn,Weapons,50000-300000
Hide of the Feral Guardian,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/hide-of-the-feral-guardian,Armor,50000-300000
Guild Keyrune (Selesnya),501-5000,"1,500",Rare,, https://www.dndbeyond.com/magic-items/guild-keyrune,Wondrous Items,2000-20000
Instrument of the Bards (Anstruth Harp),5001-50000,17500,Very Rare,"109,000", https://www.dndbeyond.com/magic-items/anstruth-harp,Wondrous Items,20000-50000
Blackstaff,50001+,"72,000",Legendary,, https://www.dndbeyond.com/magic-items/blackstaff,Staffs,50000-300000
Figurine of Wondrous Power (Bronze Griffon),501-5000,"3,600",Rare,"8,000", https://www.dndbeyond.com/magic-items/figurine-of-wondrous-power,Wondrous Items,2000-20000
Wyrmskull Throne,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/wyrmskull-throne,Wondrous Items,Priceless
Charlatan's Die,50-100,80,Common,, https://www.dndbeyond.com/magic-items/charlatans-die,Wondrous Items,20-70
Ring Of Three Wishes,50001+,"97,950",Legendary,, https://www.dndbeyond.com/magic-items/ring-of-three-wishes,Rings,50000-300000
Scroll Of Protection,501-5000,"3,500",Rare,180, https://www.dndbeyond.com/magic-items/scroll-of-protection,Spell Scrolls,2000-20000
Spyglass Of Clairvoyance,50-100,,Common,, https://www.dndbeyond.com/magic-items/spyglass-of-clairvoyance,Wondrous Items,20-70
Ring Of Telekinesis,5001-50000,"25,000",Very Rare,"80,000", https://www.dndbeyond.com/magic-items/ring-of-telekinesis,Rings,20000-50000
Returning Weapon,Varies,,Varies,, https://www.dndbeyond.com/magic-items/returning-weapon,Weapons,Varies
Rod Of Absorption,5001-50000,"48,000",Very Rare,"50,000", https://www.dndbeyond.com/magic-items/rod-of-absorption,Rods,20000-50000
Clockwork Amulet,50-100,100,Common,, https://www.dndbeyond.com/magic-items/clockwork-amulet,Wondrous Items: Neck,20-70
Coin of Delving,50-100,50,Common,, https://www.dndbeyond.com/magic-items/coin-of-delving,Wondrous Item,20-70
Bead Of Nourishment,50-100,25,Common,, https://www.dndbeyond.com/magic-items/bead-of-nourishment,Wondrous Items,20-70
Necklace Of Prayer Beads (Blessing),501-5000,"5,000",Rare,"2,000", https://www.dndbeyond.com/magic-items/necklace-of-prayer-beads,Wondrous Items: Neck,2000-20000
Enduring Spellbook,50-100,100,Common,, https://www.dndbeyond.com/magic-items/enduring-spellbook,Wondrous Items,20-70
Ioun Stone (Regeneration),50001+,"55,000",Legendary,"4,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,50000-300000
Atlas of Endless Horizons,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/atlas-of-endless-horizons,Wondrous Items,2000-20000
Quaals Feather Token (Anchor),501-5000,"1,000",Rare,50, https://www.dndbeyond.com/magic-items/quaals-feather-token,Wondrous Items,2000-20000
Piercer,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/piercer,Weapons,2000-20000
Book Of Vile Darkness,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/book-of-vile-darkness,Wondrous Items,Priceless
Boomerang +1,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/boomerang-1,Weapons,100-600
Outer Essence Shard,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/outer-essence-shard,Wondrous Items,2000-20000
Rod Of Alertness,5001-50000,"11,000",Very Rare,"25,000", https://www.dndbeyond.com/magic-items/rod-of-alertness,Rods,20000-50000
Lyre of Building,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/lyre-of-building,Wondrous Items,2000-20000
Necklace of Fireballs (5 Beads),501-5000,"3,625",Rare,"3,840", https://www.dndbeyond.com/magic-items/necklace-of-fireballs,Wondrous Items: Neck,2000-20000
Oil Of Etherealness,501-5000,"2,000",Rare,"1,920", https://www.dndbeyond.com/magic-items/oil-of-etherealness,Potions & Oils,2000-20000
Potion of Possibility,5001-50000,"1,900",Very Rare,, https://www.dndbeyond.com/magic-items/potion-of-possibility,Potion,20000-50000
Siren Song Lyre,501-5000,650,Rare,, https://www.dndbeyond.com/magic-items/siren-song-lyre,Wondrous Items,2000-20000
Bag Of Beans,501-5000,"4,200",Rare,, https://www.dndbeyond.com/magic-items/bag-of-beans,Wondrous Items,2000-20000
Spellshard,50-100,100,Common,, https://www.dndbeyond.com/magic-items/spellshard,Wondrous Items,20-70
Slippers Of Spider Climbing,101-500,500,Uncommon,"5,000", https://www.dndbeyond.com/magic-items/slippers-of-spider-climbing,Wondrous Items: Feet,100-600
Staff Of Flowers,50-100,50,Common,, https://www.dndbeyond.com/magic-items/staff-of-flowers,Staffs,20-70
"Shield, +3",5001-50000,"22,000",Very Rare,"24,000", https://www.dndbeyond.com/magic-items/shield-3,Shields,20000-50000
"Shield, +1",101-500,450,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/shield-1,Shields,100-600
"Vicious Rapier, +1",501-5000,,Rare,, https://www.dndbeyond.com/magic-items/vicious-rapier-1,Weapons,2000-20000
Verminshroud,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/verminshroud,Wondrous Item,50000-300000
Potion Of Comprehension,50-100,,Common,, https://www.dndbeyond.com/magic-items/potion-of-comprehension,Potions & Oils,20-70
Whelm,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/whelm,Weapons,50000-300000
Ring Of Mind Shielding,101-500,250,Uncommon,"16,000", https://www.dndbeyond.com/magic-items/ring-of-mind-shielding,Rings,100-600
Potion Of Healing,50-100,50,Common,50, https://www.dndbeyond.com/magic-items/potion-of-healing,Potions & Oils,20-70
Seeker Dart,101-500,100,Uncommon,, https://www.dndbeyond.com/magic-items/seeker-dart,Weapons,100-600
Manual Of Bodily Health,5001-50000,"36,000",Very Rare,, https://www.dndbeyond.com/magic-items/manual-of-bodily-health,Wondrous Items,20000-50000
Docent,501-5000,"4,500",Rare,, https://www.dndbeyond.com/magic-items/docent,Wondrous Items,2000-20000
Trident Of Fish Command,101-500,300,Uncommon,800, https://www.dndbeyond.com/magic-items/trident-of-fish-command,Weapons,100-600
Astral Shard,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/astral-shard,Wondrous Items,2000-20000
Dwarven Thrower (warhammer),5001-50000,"25,000",Very Rare,"18,000", https://www.dndbeyond.com/magic-items/dwarven-thrower,Weapons,20000-50000
All-Purpose Tool,Varies,,Varies,, https://www.dndbeyond.com/magic-items/all-purpose-tool,Wondrous Items,Varies
Orcsplitter (greataxe),50001+,"60,000",Legendary,, https://www.dndbeyond.com/magic-items/orcsplitter,Weapons,50000-300000
Armblade,50-100,100,Common,, https://www.dndbeyond.com/magic-items/armblade,Weapons,20-70
Glamoured Studded Leather,501-5000,"4,800",Rare,"2,000", https://www.dndbeyond.com/magic-items/glamoured-studded-leather,Armor,2000-20000
Guild Keyrune (Dimir),5001-50000,"26,000",Very Rare,, https://www.dndbeyond.com/magic-items/guild-keyrune,Wondrous Items,20000-50000
Staff Of The Woodlands,501-5000,"4,500",Rare,"44,000", https://www.dndbeyond.com/magic-items/staff-of-the-woodlands,Staffs,2000-20000
Potion Of Climbing,50-100,30,Common,180, https://www.dndbeyond.com/magic-items/potion-of-climbing,Potions & Oils,20-70
Bag Of Devouring,5001-50000,"12,000",Very Rare,, https://www.dndbeyond.com/magic-items/bag-of-devouring,Wondrous Items,20000-50000
Obviator's Lenses,Varies,,Varies,, https://www.dndbeyond.com/magic-items/obviators-lenses,Wondrous Items,Varies
Loadstone,501-5000,150,Rare,, https://www.dndbeyond.com/magic-items/loadstone,Wondrous Items,2000-20000
Bead Of Refreshment,50-100,25,Common,, https://www.dndbeyond.com/magic-items/bead-of-refreshment,Wondrous Items,20-70
Sword Of Sharpness (slashing swords),5001-50000,"42,000",Very Rare,"1,700", https://www.dndbeyond.com/magic-items/sword-of-sharpness,Weapons,20000-50000
Baba Yaga's Mortar and Pestle,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/baba-yagas-mortar-and-pestle,Wondrous Items,Priceless
Fernian Ash Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/fernian-ash-focus,Wondrous Items,20-70
Heward's Handy Haversack,501-5000,"2,000",Rare,"2,000", https://www.dndbeyond.com/magic-items/hewards-handy-haversack,Wondrous Items,2000-20000
Leather Golem Armor,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/leather-golem-armor,Armor,2000-20000
Arrow Of Slaying (Ea),5001-50000,"1,000",Very Rare,600, https://www.dndbeyond.com/magic-items/arrow-of-slaying,Ammunition,20000-50000
Figurine of Wondrous Power (Serpentine Owl),501-5000,"3,000",Rare,"8,000", https://www.dndbeyond.com/magic-items/figurine-of-wondrous-power,Wondrous Items,2000-20000
Belt Of Giant Strength (Fire),5001-50000,"36,000",Very Rare,, https://www.dndbeyond.com/magic-items/belt-of-giant-strength,Wondrous Items: Waist,20000-50000
Feather Token Feather Fall,50-100,25,Common,, https://www.dndbeyond.com/magic-items/feather-token-feather-fall,Wondrous Items,20-70
Sekolahian Worshiping Statuette,50-100,50,Common,, https://www.dndbeyond.com/magic-items/sekolahian-worshiping-statuette,Wondrous Items,20-70
"Armor, +3",50001+,"51,000",Legendary,"24,000", https://www.dndbeyond.com/magic-items/armor-3,Armor,50000-300000
Ersatz Eye,50-100,75,Common,, https://www.dndbeyond.com/magic-items/ersatz-eye,Wondrous Items: Eyes,20-70
Figurine of Wondrous Power (Golden Lions),501-5000,"5,000",Rare,600, https://www.dndbeyond.com/magic-items/figurine-of-wondrous-power,Wondrous Items,2000-20000
Rope Of Mending,50-100,50,Common,, https://www.dndbeyond.com/magic-items/rope-of-mending,Wondrous Items,20-70
Quori Beech Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/quori-beech-focus,Wondrous Items,20-70
Staff Of Defense,501-5000,"3,400",Rare,, https://www.dndbeyond.com/magic-items/staff-of-defense,Staffs,2000-20000
Living Gloves,101-500,500,Uncommon,, https://www.dndbeyond.com/magic-items/living-gloves,Wondrous Items,100-600
Potion Of Invulnerability,501-5000,"1,500",Rare,"3,840", https://www.dndbeyond.com/magic-items/potion-of-invulnerability,Potions & Oils,2000-20000
Wand Of Viscid Globs,501-5000,900,Rare,, https://www.dndbeyond.com/magic-items/wand-of-viscid-globs,Wands,2000-20000
Ring Of Protection,501-5000,"3,000",Rare,"3,500", https://www.dndbeyond.com/magic-items/ring-of-protection,Rings,2000-20000
Eyes Of The Eagle,101-500,400,Uncommon,"2,500", https://www.dndbeyond.com/magic-items/eyes-of-the-eagle,Wondrous Items: Eyes,100-600
Needle of Mending,501-5000,"1,400",Rare,, https://www.dndbeyond.com/magic-items/needle-of-mending,Weapons,2000-20000
"Armor, +2",5001-50000,"20,000",Very Rare,"6,000", https://www.dndbeyond.com/magic-items/armor-2,Armor,20000-50000
Axe Of The Dwarvish Lords,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/axe-of-the-dwarvish-lords,Weapons,Priceless
Mace Of Disruption,501-5000,"1,750",Rare,"8,000", https://www.dndbeyond.com/magic-items/mace-of-disruption,Weapons,2000-20000
Necklace Of Prayer Beads (Curing),501-5000,"5,000",Rare,"4,000", https://www.dndbeyond.com/magic-items/necklace-of-prayer-beads,Wondrous Items: Neck,2000-20000
Danoth's Visor,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/danoths-visor,Wondrous Item,50000-300000
Orb Of Direction,50-100,50,Common,, https://www.dndbeyond.com/magic-items/orb-of-direction,Wondrous Items,20-70
Glamerweave (Uncommon),101-500,150,Uncommon,, https://www.dndbeyond.com/magic-items/uncommon-glamerweave,Wondrous Items,100-600
Mace Of Terror,501-5000,"3,500",Rare,"8,000", https://www.dndbeyond.com/magic-items/mace-of-terror,Weapons,2000-20000
Weapon Of Warning,101-500,400,Uncommon,"60,000", https://www.dndbeyond.com/magic-items/weapon-of-warning,Weapons,100-600
Armor Of Invulnerability,50001+,"70,000",Legendary,"18,000", https://www.dndbeyond.com/magic-items/armor-of-invulnerability,Armor,50000-300000
Spies' Murmur,101-500,475,Uncommon,, https://www.dndbeyond.com/magic-items/spies-murmur,Wondrous Items: Head,100-600
Ring Of Earth Elemental Command,50001+,"200,000",Legendary,"31,000", https://www.dndbeyond.com/magic-items/ring-of-earth-elemental-command,Rings,50000-300000
Potion Of Mind Control (Beast),501-5000,"1,600",Rare,, https://www.dndbeyond.com/magic-items/potion-of-mind-control,Potions & Oils,2000-20000
Fulminating Treatise,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/fulminating-treatise,Wondrous Items,2000-20000
Tentacle Rod,501-5000,"2,000",Rare,"5,000", https://www.dndbeyond.com/magic-items/tentacle-rod,Rods,2000-20000
Crystal Ball,5001-50000,"42,000",Very Rare,"50,000", https://www.dndbeyond.com/magic-items/crystal-ball,Wondrous Items,20000-50000
Wheel Of Stars,5001-50000,"6,500",Very Rare,, https://www.dndbeyond.com/magic-items/wheel-of-stars,Wondrous Items,20000-50000
Conch Of Teleportation,5001-50000,"1,850",Very Rare,, https://www.dndbeyond.com/magic-items/conch-of-teleportation,Wondrous Items,20000-50000
"Spell Gem (Lapis Lazuli, Level 1)",101-500,350,Uncommon,, https://www.dndbeyond.com/magic-items/spell-gem-lapis-lazuli,Spell Gems,100-600
Potion Of Poison,101-500,500,Uncommon,100, https://www.dndbeyond.com/magic-items/potion-of-poison,Potions & Oils,100-600
Sunforger (warhammer),501-5000,"4,600",Rare,, https://www.dndbeyond.com/magic-items/sunforger,Weapons,2000-20000
Dagger Of Venom,501-5000,"1,500",Rare,"2,500", https://www.dndbeyond.com/magic-items/dagger-of-venom,Weapons,2000-20000
Corpse Slayer,501-5000,"1,300",Rare,, https://www.dndbeyond.com/magic-items/corpse-slayer,Weapons,2000-20000
Lantern Of Revealing,101-500,500,Uncommon,"5,000", https://www.dndbeyond.com/magic-items/lantern-of-revealing,Wondrous Items,100-600
Claws Of The Umber Hulk,501-5000,"4,300",Rare,, https://www.dndbeyond.com/magic-items/claws-of-the-umber-hulk,Wondrous Items: Hands,2000-20000
Wand Of Web,101-500,250,Uncommon,"8,000", https://www.dndbeyond.com/magic-items/wand-of-web,Wands,100-600
Heward's Hireling Armor,5001-50000,,Very Rare,, https://www.dndbeyond.com/magic-items/hewards-hireling-armor,Armor,20000-50000
Gurt's Greataxe,50001+,"67,000",Legendary,, https://www.dndbeyond.com/magic-items/gurts-greataxe,Weapons,50000-300000
Shiftweave,50-100,100,Common,, https://www.dndbeyond.com/magic-items/shiftweave,Wondrous Items,20-70
Feywild Shard,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/feywild-shard,Wondrous Items,100-600
Spell Sink,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/spell-sink,Wondrous Items,50000-300000
Claw Of The Wyrm Rune,501-5000,"4,400",Rare,, https://www.dndbeyond.com/magic-items/claw-of-the-wyrm-rune,Wondrous Items,2000-20000
Figurine of Wondrous Power (Silver Raven),101-500,380,Uncommon,"5,000", https://www.dndbeyond.com/magic-items/figurine-of-wondrous-power,Wondrous Items,100-600
Feather Token (Feather Fall),50-100,25,Common,, https://www.dndbeyond.com/magic-items/feather-token-feather-fall,Wondrous Items,20-70
Ioun Stone Of Supreme Intellect,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/ioun-stone-of-supreme-intellect,Wondrous Items,2000-20000
Storm Boomerang,101-500,150,Uncommon,, https://www.dndbeyond.com/magic-items/storm-boomerang,Weapons,100-600
Necklace Of Prayer Beads (Smiting),501-5000,"5,000",Rare,"1,500", https://www.dndbeyond.com/magic-items/necklace-of-prayer-beads,Wondrous Items: Neck,2000-20000
Hunter's Coat,5001-50000,"5,000",Very Rare,, https://www.dndbeyond.com/magic-items/hunters-coat,Armor,20000-50000
Oil Of Sharpness,5001-50000,"2,200",Very Rare,"3,200", https://www.dndbeyond.com/magic-items/oil-of-sharpness,Potions & Oils,20000-50000
Arcanomechanical Armor,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/arcanomechanical-armor,Armor,2000-20000
Gloves Of Swimming And Climbing,101-500,250,Uncommon,"2,000", https://www.dndbeyond.com/magic-items/gloves-of-swimming-and-climbing,Wondrous Items: Hands,100-600
Chime Of Opening,501-5000,"3,000",Rare,"1,500", https://www.dndbeyond.com/magic-items/chime-of-opening,Wondrous Items,2000-20000
Robe Of Scintillating Colors,5001-50000,"27,000",Very Rare,"6,000", https://www.dndbeyond.com/magic-items/robe-of-scintillating-colors,Wondrous Items: Body,20000-50000
Ring Of Water Walking,101-500,500,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/ring-of-water-walking,Rings,100-600
Piwafwi Of Fire Resistance,501-5000,"1,400",Rare,, https://www.dndbeyond.com/magic-items/piwafwi-of-fire-resistance,Wondrous Items: Shoulders,2000-20000
Amulet of the Devout,Varies,,Varies,, https://www.dndbeyond.com/magic-items/amulet-of-the-devout,Wondrous Items,Varies
Inquisitives Goggles,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/inquisitives-goggles,Wondrous Items,100-600
Necklace of Fireballs (6 Beads),501-5000,"4,350",Rare,"7,680", https://www.dndbeyond.com/magic-items/necklace-of-fireballs,Wondrous Items: Neck,2000-20000
Belt Of Giant Strength (Cloud),50001+,"66,000",Legendary,, https://www.dndbeyond.com/magic-items/belt-of-giant-strength,Wondrous Items: Waist,50000-300000
Hat Of Wizardry,50-100,75,Common,, https://www.dndbeyond.com/magic-items/hat-of-wizardry,Wondrous Items: Head,20-70
Mantle Of Spell Resistance,501-5000,"4,200",Rare,"30,000", https://www.dndbeyond.com/magic-items/mantle-of-spell-resistance,Wondrous Items: Shoulders,2000-20000
Ioun Stone (Insight),5001-50000,"8,000",Very Rare,"3,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,20000-50000
Quaals Feather Token (Swan Boat),501-5000,"1,000",Rare,"3,000", https://www.dndbeyond.com/magic-items/quaals-feather-token,Wondrous Items,2000-20000
Wand Of Pyrotechnics,50-100,65,Common,, https://www.dndbeyond.com/magic-items/wand-of-pyrotechnics,Wands,20-70
Coin Of Decisionry,Varies,,Varies,, https://www.dndbeyond.com/magic-items/coin-of-decisionry,Wondrous Items,Varies
Blood Spear,101-500,375,Uncommon,, https://www.dndbeyond.com/magic-items/blood-spear,Weapons,100-600
Spellshard,50-100,100,Common,, https://www.dndbeyond.com/magic-items/spellshard,Wondrous Items,20-70
Robe Of Useful Items,101-500,400,Uncommon,Items * 5, https://www.dndbeyond.com/magic-items/robe-of-useful-items,Wondrous Items: Body,100-600
Guild Keyrune (Golgari),5001-50000,"7,500",Very Rare,, https://www.dndbeyond.com/magic-items/guild-keyrune,Wondrous Items,20000-50000
Stone Of Good Luck (Luckstone),101-500,400,Uncommon,"4,200", https://www.dndbeyond.com/magic-items/stone-of-good-luck-luckstone,Wondrous Items,100-600
Periapt Of Health,101-500,250,Uncommon,"5,000", https://www.dndbeyond.com/magic-items/periapt-of-health,Wondrous Items: Neck,100-600
Spell Scroll (Level 3),101-500,150,Uncommon,120, https://www.dndbeyond.com/magic-items/spell-scroll,Spell Scrolls,100-600
Horn Of Silent Alarm,50-100,85,Common,, https://www.dndbeyond.com/magic-items/horn-of-silent-alarm,Wondrous Items,20-70
Nightfall Pearl,50001+,"51,000",Legendary,, https://www.dndbeyond.com/magic-items/nightfall-pearl,Wondrous Item,50000-300000
Grimoire Infinitus,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/grimoire-infinitus,Wondrous Item,50000-300000
Horn Of The Endless Maze,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/horn-of-the-endless-maze,Wondrous Items,2000-20000
Spell Scroll (Level 1),50-100,25,Common,60, https://www.dndbeyond.com/magic-items/spell-scroll,Spell Scrolls,20-70
Dispelling Stone,5001-50000,"7,000",Very Rare,, https://www.dndbeyond.com/magic-items/dispelling-stone,Wondrous Item,20000-50000
Horn Of Valhalla (Iron),50001+,"50,000",Legendary,"14,000", https://www.dndbeyond.com/magic-items/horn-of-valhalla,Wondrous Items,50000-300000
Risian Pine Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/risian-pine-focus,Wondrous Items,20-70
"Shield, +2",501-5000,"4,000",Rare,"6,000", https://www.dndbeyond.com/magic-items/shield-2,Shields,2000-20000
Ring of Temporal Salvation,501-5000,"2,250",Rare,, https://www.dndbeyond.com/magic-items/ring-of-temporal-salvation,Rings,2000-20000
Necklace Of Prayer Beads (Wind Walking),501-5000,"5,000",Rare,"96,000", https://www.dndbeyond.com/magic-items/necklace-of-prayer-beads,Wondrous Items: Neck,2000-20000
Keoghtom's Ointment (Per Dose),101-500,400,Uncommon,120, https://www.dndbeyond.com/magic-items/keoghtoms-ointment,Wondrous Items,100-600
Alchemy Jug,101-500,100,Uncommon,"6,000", https://www.dndbeyond.com/magic-items/alchemy-jug,Wondrous Items,100-600
Sunsword (longsword),50001+,"55,000",Legendary,, https://www.dndbeyond.com/magic-items/sunsword,Weapons,50000-300000
Demon Armor (plate) (cursed),5001-50000,"7,500",Very Rare,, https://www.dndbeyond.com/magic-items/demon-armor,Armor,20000-50000
Holy Symbol Of Ravenkind,50001+,"51,000",Legendary,, https://www.dndbeyond.com/magic-items/holy-symbol-of-ravenkind,Wondrous Items: Neck,50000-300000
Cast Off Armor,50-100,+50,Common,, https://www.dndbeyond.com/magic-items/cast-off-armor,Armor,20-70
Rod Of The Pact Keeper +3,5001-50000,"14,000",Very Rare,"28,000", https://www.dndbeyond.com/magic-items/rod-of-the-pact-keeper,Rods,20000-50000
Potion Of Clairvoyance,501-5000,900,Rare,960, https://www.dndbeyond.com/magic-items/potion-of-clairvoyance,Potions & Oils,2000-20000
Moon Sickle,Varies,,Varies,, https://www.dndbeyond.com/magic-items/moon-sickle,Weapons,Varies
"Spell Gem (Jade, Level 5)",5001-50000,"15,000",Very Rare,, https://www.dndbeyond.com/magic-items/spell-gem-jade,Spell Gems,20000-50000
Weapon of Certain Death,501-5000,"1,500",Rare,, https://www.dndbeyond.com/magic-items/weapon-of-certain-death,Weapons,2000-20000
Black Crystal Tablet,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/black-crystal-tablet,Wondrous Items,50000-300000
Brooch Of Shielding,101-500,375,Uncommon,"7,500", https://www.dndbeyond.com/magic-items/brooch-of-shielding,Wondrous Items: Neck,100-600
Draakhorn,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/draakhorn,Wondrous Items,Priceless
Staff Of The Magi,50001+,"98,000",Legendary,, https://www.dndbeyond.com/magic-items/staff-of-the-magi,Staffs,50000-300000
Helm Of Brilliance,5001-50000,"32,000",Very Rare,, https://www.dndbeyond.com/magic-items/helm-of-brilliance,Wondrous Items: Head,20000-50000
Acheron Blade,501-5000,900,Rare,, https://www.dndbeyond.com/magic-items/acheron-blade,Weapons,2000-20000
Potion Of Growth,101-500,300,Uncommon,270, https://www.dndbeyond.com/magic-items/potion-of-growth,Potions & Oils,100-600
Blood Fury Tattoo,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/blood-fury-tattoo,Wondrous Items,50000-300000
Armblade,50-100,100,Common,, https://www.dndbeyond.com/magic-items/armblade,Weapons,20-70
Illusionists Bracers,5001-50000,"13,500",Very Rare,, https://www.dndbeyond.com/magic-items/illusionists-bracers,Wondrous Items: Arms & Wrists,20000-50000
Luxon Beacon,50001+,"35,000",Legendary,, https://www.dndbeyond.com/magic-items/luxon-beacon,Wondrous Item,50000-300000
Necklace Of Prayer Beads (Summons),501-5000,"5,000",Rare,"128,000", https://www.dndbeyond.com/magic-items/necklace-of-prayer-beads,Wondrous Items: Neck,2000-20000
Balance Of Harmony,101-500,200,Uncommon,, https://www.dndbeyond.com/magic-items/balance-of-harmony,Wondrous Items,100-600
Efficient Quiver,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/efficient-quiver,Wondrous Items,100-600
"Spell Gem (Diamond, Level 9)",50001+,"78,000",Legendary,, https://www.dndbeyond.com/magic-items/spell-gem-diamond,Spell Gems,50000-300000
Quori Beech Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/quori-beech-focus,Wondrous Items,20-70
Ioun Stone Of Self Preservation,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/ioun-stone-of-self-preservation,Wondrous Items,2000-20000
Philter Of Love,101-500,150,Uncommon,90, https://www.dndbeyond.com/magic-items/philter-of-love,Potions & Oils,100-600
Scimitar Of Speed,5001-50000,"7,500",Very Rare,"6,000", https://www.dndbeyond.com/magic-items/scimitar-of-speed,Weapons,20000-50000
Ring Of Invisibility,50001+,"75,000",Legendary,"10,000", https://www.dndbeyond.com/magic-items/ring-of-invisibility,Rings,50000-300000
Reveler's Concertina,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/revelers-concertina,Wondrous Items,2000-20000
Rings Of Shared Suffering,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/rings-of-shared-suffering,Ring,100-600
Well Of Many Worlds,50001+,"90,000",Legendary,, https://www.dndbeyond.com/magic-items/well-of-many-worlds,Wondrous Items,50000-300000
Pipes Of The Sewers,101-500,150,Uncommon,"2,000", https://www.dndbeyond.com/magic-items/pipes-of-the-sewers,Wondrous Items,100-600
Wand Of The War Mage +1,101-500,400,Uncommon,"1,200", https://www.dndbeyond.com/magic-items/wand-of-the-war-mage,Wands,100-600
Infernal Tack,50001+,"8,000",Legendary,, https://www.dndbeyond.com/magic-items/infernal-tack,Wondrous Items,50000-300000
Irian Rosewood Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/irian-rosewood-focus,Wondrous Items,20-70
Guild Keyrune (Orzhov),501-5000,"1,100",Rare,, https://www.dndbeyond.com/magic-items/guild-keyrune,Wondrous Items,2000-20000
Defender (any sword),50001+,"55,000",Legendary,"24,000", https://www.dndbeyond.com/magic-items/defender,Weapons,50000-300000
Rod Of Rulership,501-5000,"3,600",Rare,"16,000", https://www.dndbeyond.com/magic-items/rod-of-rulership,Rods,2000-20000
Ring Of Animal Influence,501-5000,"1,000",Rare,"4,000", https://www.dndbeyond.com/magic-items/ring-of-animal-influence,Rings,2000-20000
Handy Haversack,501-5000,"2,000",Rare,"2,000", https://www.dndbeyond.com/magic-items/handy-haversack,Wondrous Items,2000-20000
Professor Orb,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/professor-orb,Wondrous Items,2000-20000
Radiant Weapon,Varies,,Varies,, https://www.dndbeyond.com/magic-items/radiant-weapon,Weapons,Varies
Staff Of The Forgotten One,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/staff-of-the-forgotten-one,Staffs,Priceless
Pariah's Shield,501-5000,"1,500",Rare,, https://www.dndbeyond.com/magic-items/pariahs-shield,Shields,2000-20000
Flying Chariot,501-5000,"4,750",Rare,, https://www.dndbeyond.com/magic-items/flying-chariot,Wondrous Items,2000-20000
Wand Of Enemy Detection,501-5000,"3,750",Rare,"4,000", https://www.dndbeyond.com/magic-items/wand-of-enemy-detection,Wands,2000-20000
Ring Of Fire Elemental Command,50001+,"200,000",Legendary,"17,000", https://www.dndbeyond.com/magic-items/ring-of-fire-elemental-command,Rings,50000-300000
Potion Of Healing (Supreme),5001-50000,"1,500",Very Rare,"1,350", https://www.dndbeyond.com/magic-items/potion-of-healing,Potions & Oils,20000-50000
